YEAR,DEC,Q,N_SUM,HOME_V2021_Q
2012,1,1,5066,0
2012,1,2,5026,128.9418289271208
2012,1,3,8025,191.76561693340216
2012,1,4,6803,227.5216990666429
2012,1,5,9393,284.4119226638024
2012,10,1,9227,4.8993028659953515
2012,10,2,11863,107.1229503156193
2012,10,3,7476,131.36401908504067
2012,10,4,11997,187.2870811074962
2012,10,5,8123,359.37499999999994
2021,1,1,8290,0
2021,1,2,12173,93.91435011269722
2021,1,3,12617,129.87679671457906
2021,1,4,16489,176.2652705061082
2021,1,5,19658,437.8596087456847
2021,10,1,14455,0
2021,10,2,14066,52.6708466371408
2021,10,3,18387,103.98356321280478
2021,10,4,18164,173.83847231744065
2021,10,5,14778,256.70103092783506
