YEAR,ST,CT,TRACTCE,N,MOB_N,FRAC_BA,FRAC_BA_DECY,HOME_V,HOME_V2021,HOME_V2021_PERCAP,MOB_N_NB,MOB_SHM_NB,MOB_SCT_NB,MOB_SST_NB,MOB_DST_NB,MOB_DNT_NB,MOB_N_BA,MOB_SHM_BA,MOB_SCT_BA,MOB_SST_BA,MOB_DST_BA,MOB_DNT_BA
2021,06,075,010101,2118,2118,0.04485363550519358,7,173,173000,81.68083097261568,2023,0,158,143,66,0,95,95,0,0,0,0
2021,06,075,010102,1783,1783,0.16825574873808188,10,190,190000,106.56197420078519,1483,0,36,14,9,0,300,300,0,0,0,0
2021,06,075,010201,2499,2499,0.08043217286914765,8,452,452000,180.87234893957583,2298,0,139,143,166,0,201,59,0,142,0,0
2021,06,075,010202,1891,1879,0.028206492815327302,5,319,319000,169.7711548696115,1826,0,233,36,22,0,53,53,0,0,0,0
2021,06,075,010300,3996,3993,0,1,375,375000,93.91435011269722,3993,0,295,92,202,0,0,0,0,0,0,0
2021,06,075,010401,2202,2190,0.005479452054794521,2,326,326000,148.8584474885845,2178,0,117,72,24,0,12,3,0,9,0,0
2021,06,075,010402,2292,2292,0,1,404,404000,176.2652705061082,2292,0,25,0,66,0,0,0,0,0,0,0
2021,06,075,010500,3430,3417,0.04741000877963126,7,403,403000,117.93971319871233,3255,0,177,141,109,0,162,162,0,0,0,0
2021,06,075,010600,3277,3277,0.031736344217271895,6,132,132000,40.28074458346048,3173,0,164,187,46,0,104,47,57,0,0,0
2021,06,075,010701,3458,3458,0,1,51,51000,14.74840948525159,3458,0,89,139,19,0,0,0,0,0,0,0
2021,06,075,010702,1584,1584,0,1,121,121000,76.38888888888889,1584,0,133,95,0,0,0,0,0,0,0,0
2021,06,075,010800,4999,4999,0.054410882176435284,8,523,523000,104.62092418483697,4727,0,305,138,201,0,272,272,0,0,0,0
2021,06,075,010901,1948,1948,0,1,253,253000,129.87679671457906,1948,0,141,167,80,0,0,0,0,0,0,0
2021,06,075,010902,2403,2403,0.014148980441115273,4,115,115000,47.8568456096546,2369,0,261,426,34,0,34,34,0,0,0,0
2021,06,075,011001,2628,2602,0.008839354342813221,3,337,337000,129.51575710991546,2579,0,571,44,35,0,23,0,23,0,0,0
2021,06,075,011002,2249,2249,0,1,345,345000,153.40151178301468,2249,0,79,177,76,0,0,0,0,0,0,0
2021,06,075,011101,2528,2528,0.01661392405063291,4,111,111000,43.90822784810127,2486,0,158,208,61,0,42,0,0,0,0,42
2021,06,075,011102,2024,2024,0.07015810276679842,8,62,62000,30.632411067193676,1882,0,283,197,120,0,142,141,1,0,0,0
2021,06,075,011200,3120,3098,0.041639767591994836,7,444,444000,143.3182698515171,2969,0,245,135,43,0,129,118,8,1,2,0
2021,06,075,011300,2801,2766,0.018799710773680405,4,106,106000,38.32248734634852,2714,0,39,29,105,0,52,52,0,0,0,0
2021,06,075,011700,1800,1788,0.03131991051454139,6,92,92000,51.45413870246085,1732,0,120,54,33,0,56,32,4,15,5,0
2021,06,075,011800,1658,1658,0.010253317249698432,3,12,12000,7.237635705669481,1641,0,38,0,72,0,17,16,0,1,0,0
2021,06,075,011901,2298,2284,0.02583187390542907,5,352,352000,154.11558669001752,2225,0,126,109,73,0,59,40,0,19,0,0
2021,06,075,011902,2771,2763,0.016286644951140065,4,110,110000,39.811798769453496,2718,0,183,204,85,0,45,28,13,0,4,0
2021,06,075,012001,1834,1834,0.010905125408942203,3,82,82000,44.711014176663035,1814,0,407,91,110,0,20,4,16,0,0,0
2021,06,075,012002,2202,2202,0.0958219800181653,9,160,160000,72.66121707538602,1991,0,403,92,27,0,211,190,0,21,0,0
2021,06,075,012100,3846,3846,0.041081643265730626,6,172,172000,44.721788871554864,3688,0,518,347,279,0,158,102,33,12,8,3
2021,06,075,012202,2821,2821,0.13080467919177596,10,201,201000,71.25132931584544,2452,0,488,315,41,0,369,238,49,45,37,0
2021,06,075,012203,1834,1792,0.09709821428571429,9,0,0,0,1618,0,157,28,0,0,174,105,69,0,0,0
2021,06,075,012204,2763,2751,0,1,73,73000,26.53580516175936,2751,0,263,73,32,0,0,0,0,0,0,0
2021,06,075,012301,1887,1853,0.08850512682137075,9,35,35000,18.888289260658393,1689,0,129,33,0,0,164,150,0,14,0,0
2021,06,075,012302,2600,2568,0.07165109034267912,8,0,0,0,2384,0,462,177,61,0,184,122,16,46,0,0
2021,06,075,012403,2591,2591,0.06252412196063296,8,21,21000,8.104978772674643,2429,0,72,142,0,0,162,162,0,0,0,0
2021,06,075,012404,2566,2566,0.10950896336710834,9,0,0,0,2285,0,327,112,7,0,281,219,27,16,12,7
2021,06,075,012405,3817,3709,0.13318953895928823,10,0,0,0,3215,0,254,350,175,0,494,142,0,225,20,107
2021,06,075,012406,1463,1463,0.07655502392344497,8,196,196000,133.9712918660287,1351,0,58,4,11,0,112,83,23,6,0,0
2021,06,075,012502,4371,4310,0.08909512761020881,9,0,0,0,3926,0,208,115,88,0,384,239,118,27,0,0
2021,06,075,012503,3788,3775,0.051125827814569536,7,0,0,0,3582,0,110,108,38,0,193,126,59,0,0,8
2021,06,075,012504,617,617,0.08265802269043761,9,77,77000,124.79740680713128,566,0,17,0,0,0,51,51,0,0,0,0
2021,06,075,012601,2241,2232,0.008960573476702509,3,279,279000,125,2212,0,293,61,92,0,20,20,0,0,0,0
2021,06,075,012602,2977,2953,0,1,455,455000,154.08059600406366,2953,0,390,229,73,0,0,0,0,0,0,0
2021,06,075,012700,4046,4023,0.00820283370618941,2,724,724000,179.9652000994283,3990,0,606,78,222,0,33,33,0,0,0,0
2021,06,075,012801,2791,2774,0,1,469,469000,169.069935111752,2774,0,402,75,103,0,0,0,0,0,0,0
2021,06,075,012802,2012,1976,0.0020242914979757085,1,198,198000,100.20242914979757,1972,0,506,46,65,0,4,2,0,2,0,0
2021,06,075,012901,2823,2811,3.557452863749555e-4,1,270,270000,96.05122732123799,2810,0,769,64,22,0,1,1,0,0,0,0
2021,06,075,012902,3545,3452,0.009849362688296639,3,376,376000,108.92236384704519,3418,0,671,200,21,0,34,16,0,0,18,0
2021,06,075,013001,1758,1683,0,1,192,192000,114.08199643493761,1683,0,252,93,63,0,0,0,0,0,0,0
2021,06,075,013002,2800,2721,0,1,313,313000,115.03123851525174,2721,0,209,244,70,0,0,0,0,0,0,0
2021,06,075,013101,4088,3961,0.02726584195910124,5,571,571000,144.15551628376673,3853,0,529,126,222,0,108,52,55,0,1,0
2021,06,075,013102,2951,2944,0.022078804347826088,5,444,444000,150.81521739130434,2879,0,281,121,95,0,65,25,0,40,0,0
2021,06,075,013200,4456,4431,0.033852403520649964,6,985,985000,222.29744978560146,4281,0,496,171,239,0,150,150,0,0,0,0
2021,06,075,013300,4483,4403,0.005223711106064047,2,938,938000,213.03656597774244,4380,0,416,106,105,0,23,5,0,0,18,0
2021,06,075,013401,1516,1516,0.002638522427440633,2,191,191000,125.98944591029024,1512,0,167,49,0,0,4,4,0,0,0,0
2021,06,075,013402,2239,2239,0.06029477445288075,8,417,417000,186.243858865565,2104,0,221,0,86,0,135,90,0,45,0,0
2021,06,075,013500,2449,2431,0.0024681201151789387,1,419,419000,172.35705470999588,2425,0,334,88,81,0,6,2,4,0,0,0
2021,06,075,015100,2817,2810,0.03131672597864769,6,546,546000,194.30604982206407,2722,0,272,118,97,0,88,48,1,4,35,0
2021,06,075,015201,1713,1713,0.021015761821366025,5,121,121000,70.63631056625803,1677,0,259,18,40,0,36,36,0,0,0,0
2021,06,075,015202,2277,2277,0.18972332015810275,10,466,466000,204.655248133509,1845,0,249,27,181,0,432,423,9,0,0,0
2021,06,075,015300,2206,2165,0.09930715935334873,9,373,373000,172.28637413394918,1950,0,183,101,104,0,215,113,102,0,0,0
2021,06,075,015401,3349,3325,0.004210526315789474,2,669,669000,201.203007518797,3311,0,496,292,227,0,14,13,0,0,0,1
2021,06,075,015402,2643,2616,0,1,334,334000,127.67584097859327,2616,0,183,41,96,0,0,0,0,0,0,0
2021,06,075,015500,3666,3666,0.0463720676486634,7,191,191000,52.10038188761593,3496,0,417,136,67,0,170,140,30,0,0,0
2021,06,075,015600,2923,2911,0.04397114393679148,7,442,442000,151.8378564067331,2783,0,141,134,21,0,128,94,34,0,0,0
2021,06,075,015701,5327,5327,0.04955885113572367,7,411,411000,77.15412051811526,5063,0,595,927,452,0,264,191,19,45,9,0
2021,06,075,015702,3435,3396,0.020023557126030624,4,623,623000,183.45111896348646,3328,0,279,101,0,0,68,68,0,0,0,0
2021,06,075,015801,3406,3406,0.2542571931884909,10,331,331000,97.18144450968879,2540,0,258,73,14,0,866,803,11,12,40,0
2021,06,075,015802,3589,3522,0.08631459398069279,9,316,316000,89.72174900624645,3218,0,367,91,201,0,304,297,0,0,0,7
2021,06,075,015900,4829,4819,0.10354845403610707,9,599,599000,124.2996472297157,4320,0,475,241,216,0,499,497,2,0,0,0
2021,06,075,016000,2498,2498,0.0588470776621297,8,374,374000,149.71977582065654,2351,0,182,52,44,0,147,139,0,8,0,0
2021,06,075,016101,2295,2280,0.12324561403508771,10,139,139000,60.96491228070175,1999,0,224,101,57,0,281,262,19,0,0,0
2021,06,075,016102,2555,2555,0.500587084148728,10,71,71000,27.788649706457925,1276,0,51,1,0,0,1279,1246,0,33,0,0
2021,06,075,016200,3365,3326,0.04509921828021648,7,351,351000,105.53217077570656,3176,0,273,84,116,0,150,139,0,11,0,0
2021,06,075,016300,4423,4270,0.19836065573770492,10,433,433000,101.40515222482436,3423,0,552,47,84,0,847,743,104,0,0,0
2021,06,075,016400,4262,4128,0.05159883720930233,7,305,305000,73.88565891472868,3915,0,451,173,39,0,213,170,29,14,0,0
2021,06,075,016500,5279,5224,0.0773353751914242,8,594,594000,113.70597243491578,4820,0,1289,125,128,0,404,274,11,119,0,0
2021,06,075,016601,3180,3167,0.031891379854752135,6,297,297000,93.77960214714241,3066,0,349,101,33,0,101,101,0,0,0,0
2021,06,075,016602,2498,2498,0.09847878302642114,9,173,173000,69.25540432345876,2252,0,202,114,44,0,246,158,88,0,0,0
2021,06,075,016700,5427,5390,0.046753246753246755,7,619,619000,114.84230055658627,5138,0,838,145,198,0,252,246,3,3,0,0
2021,06,075,016801,4243,4184,0.050908221797323135,7,422,422000,100.8604206500956,3971,0,300,201,140,0,213,179,20,0,14,0
2021,06,075,016802,3709,3657,0.1214109926168991,9,375,375000,102.54306808859721,3213,0,668,101,153,0,444,404,18,4,18,0
2021,06,075,016900,3132,3130,0.01853035143769968,4,547,547000,174.76038338658148,3072,0,343,73,51,0,58,24,34,0,0,0
2021,06,075,017000,4375,4361,0.025223572575097455,5,1152,1152000,264.1595964228388,4251,0,304,48,53,0,110,86,0,0,0,24
2021,06,075,017101,4249,4003,0.022732950287284538,5,634,634000,158.38121408943292,3912,0,730,97,23,0,91,48,43,0,0,0
2021,06,075,017102,3671,3640,0.017857142857142856,4,486,486000,133.5164835164835,3575,0,593,130,156,0,65,25,9,17,12,2
2021,06,075,017602,3218,3218,0.22156619018023618,10,56,56000,17.40211311373524,2505,0,463,22,115,0,713,606,41,66,0,0
2021,06,075,017603,4509,4505,0.056381798002219756,8,458,458000,101.66481687014428,4251,0,168,51,171,0,254,148,42,64,0,0
2021,06,075,017604,2856,2856,0.23809523809523808,10,187,187000,65.47619047619048,2176,0,227,280,142,0,680,591,89,0,0,0
2021,06,075,017700,1989,1983,0.012607160867372668,3,170,170000,85.72869389813414,1958,0,254,75,81,0,25,25,0,0,0,0
2021,06,075,017801,3636,3620,0.025966850828729283,5,590,590000,162.98342541436463,3526,0,215,288,101,0,94,63,31,0,0,0
2021,06,075,017803,2507,2507,0.011567610690067811,3,232,232000,92.54088552054247,2478,0,646,158,116,0,29,13,16,0,0,0
2021,06,075,017804,4474,4474,0.009387572641931158,3,625,625000,139.6960214573089,4432,0,554,257,44,0,42,27,8,7,0,0
2021,06,075,017903,3185,3155,0.18066561014263074,10,0,0,0,2585,0,108,213,180,0,570,354,26,133,55,2
2021,06,075,018000,3772,3725,0.08751677852348994,9,459,459000,123.22147651006712,3399,0,484,455,198,0,326,129,106,77,14,0
2021,06,075,020101,3550,3534,0.08913412563667232,9,412,412000,116.58177702320317,3219,0,410,152,130,0,315,214,86,0,0,15
2021,06,075,020102,2941,2941,0.09418565113906835,9,152,152000,51.683100986059166,2664,0,363,108,114,0,277,222,38,17,0,0
2021,06,075,020201,2168,2152,0.048327137546468404,7,322,322000,149.62825278810408,2048,0,266,0,45,0,104,104,0,0,0,0
2021,06,075,020202,4132,4132,0.07405614714424008,8,424,424000,102.61374636979671,3826,0,342,26,76,0,306,306,0,0,0,0
2021,06,075,020300,3521,3497,0.035458964826994566,6,821,821000,234.77266228195597,3373,0,405,53,141,0,124,55,69,0,0,0
2021,06,075,020401,3303,3286,0.03225806451612903,6,744,744000,226.41509433962264,3180,0,332,158,132,0,106,106,0,0,0,0
2021,06,075,020402,4419,4388,0.01731996353691887,4,761,761000,173.42752962625343,4312,0,501,320,117,0,76,76,0,0,0,0
2021,06,075,020500,2973,2934,0.04124062713019768,7,510,510000,173.8241308793456,2813,0,194,58,34,0,121,109,12,0,0,0
2021,06,075,020601,3132,3048,0.034448818897637797,6,547,547000,179.46194225721786,2943,0,145,189,92,0,105,105,0,0,0,0
2021,06,075,020602,2487,2487,0.04945717732207479,7,662,662000,266.18415761962206,2364,0,394,33,88,0,123,122,0,0,1,0
2021,06,075,020701,3073,3014,0.031187790311877902,5,557,557000,184.80424684804248,2920,0,227,62,96,0,94,92,0,2,0,0
2021,06,075,020702,2228,2208,0.017663043478260868,4,118,118000,53.44202898550725,2169,0,225,18,126,0,39,39,0,0,0,0
2021,06,075,020801,3629,3578,0.03242034656232532,6,120,120000,33.53828954723309,3462,0,337,183,25,0,116,12,0,0,0,104
2021,06,075,020802,2604,2525,0.022178217821782177,5,186,186000,73.66336633663366,2469,0,265,271,154,0,56,56,0,0,0,0
2021,06,075,020900,4402,4370,0.021281464530892448,5,345,345000,78.94736842105263,4277,0,324,108,124,0,93,77,10,6,0,0
2021,06,075,021000,4051,4051,0.004937052579609973,2,633,633000,156.25771414465564,4031,0,400,124,253,0,20,0,0,20,0,0
2021,06,075,021100,3960,3948,0.00303951367781155,2,869,869000,220.1114488348531,3936,0,375,141,91,0,12,12,0,0,0,0
2021,06,075,021200,3017,2978,0.010745466756212223,3,819,819000,275.01678979180656,2946,0,278,163,155,0,32,30,2,0,0,0
2021,06,075,021300,2692,2688,0.043154761904761904,7,541,541000,201.26488095238096,2572,0,224,251,91,0,116,116,0,0,0,0
2021,06,075,021400,3641,3548,0.005918827508455468,2,736,736000,207.44081172491545,3527,0,261,51,97,0,21,0,0,0,21,0
2021,06,075,021500,5622,5577,0.017930787161556393,4,1072,1072000,192.21803837188452,5477,0,428,228,110,0,100,20,19,0,61,0
2021,06,075,021600,4189,4160,0.046634615384615385,7,1202,1202000,288.9423076923077,3966,0,179,0,82,0,194,194,0,0,0,0
2021,06,075,021700,4512,4477,0.11570247933884298,9,1213,1213000,270.94036184945276,3959,0,250,130,52,0,518,509,9,0,0,0
2021,06,075,021800,4218,4139,0.019811548683256824,4,977,977000,236.04735443343802,4057,0,230,125,73,0,82,78,4,0,0,0
2021,06,075,022600,3570,3509,0.038472499287546306,6,503,503000,143.34568253063551,3374,0,622,225,195,0,135,72,0,0,0,63
2021,06,075,022702,2218,2193,0.026903784769721842,5,456,456000,207.9343365253078,2134,0,195,66,81,0,59,43,0,16,0,0
2021,06,075,022704,3565,3484,0.020091848450057407,4,1024,1024000,293.9150401836969,3414,0,267,103,30,0,70,51,19,0,0,0
